知识点,标签,认知维度,分类,教学目标,课程
交联度,考点,记忆,概念性,掌握树脂的交联度,水质工程学
全交换容量,考点;难点,记忆,概念性,掌握树脂的全交换容量,水质工程学
典型的离子交换反应,考点,记忆,元认知,掌握典型的离子交换反应,水质工程学
加热软化法,考点,理解,事实性,了解加热软化法,水质工程学
化学性能指标,考点,记忆,事实性,掌握离子交换树脂的化学性能指标,水质工程学
去除地下水中的硝酸氮,考点,应用,程序性,掌握离子交换用于去除地下水中硝酸氮的工艺流程,水质工程学
反渗透法,考点,理解,事实性,了解反渗透法除盐,水质工程学
含水率,考点;难点,记忆,概念性,掌握树脂的含水率,水质工程学
固定床（单层床、双层床和混合床）,考点,应用,事实性,了解离子交换固定床的种类和特征,水质工程学
工作交换容量,考点;难点,记忆,概念性,掌握树脂的工作交换容量,水质工程学
干真密度,考点;难点,记忆,概念性,掌握树脂的干真密度,水质工程学
弱碱性阴离子交换树脂的反应和再生,考点;难点,记忆,概念性,掌握弱碱性阴离子交换树脂的反应和再生,水质工程学
弱酸性阳离子交换树脂的反应和再生,考点;难点,记忆,概念性,掌握弱酸性阳离子交换树脂的反应和再生,水质工程学
强碱性阴离子交换树脂的反应和再生,考点;难点,记忆,概念性,掌握强碱性阴离子交换树脂的反应和再生,水质工程学
强酸性阳离子交换树脂的反应和再生,考点;难点,记忆,概念性,掌握强酸性阳离子交换树脂的反应和再生,水质工程学
树脂的命名规范,考点,理解,概念性,了解树脂的命名规范,水质工程学
树脂的酸碱性和有效pH范围,考点;难点,记忆,事实性,理解并掌握树脂的酸碱性和有效pH范围,水质工程学
水中主要的溶解性杂质,考点,理解,事实性,复习水中主要的溶解性杂志,水质工程学
水质工程学,,,,,水质工程学
湿真密度,考点;难点,记忆,概念性,掌握树脂的湿真密度,水质工程学
湿视密度,考点;难点,记忆,概念性,掌握树脂湿视密度,水质工程学
物理性能指标,考点;难点,记忆,事实性,掌握离子交换树脂的物理性能指标,水质工程学
电渗析法,考点,理解,事实性,了解电渗析法除盐,水质工程学
离子交换,,,,掌握离子交换的概念、机理并应用,水质工程学
离子交换工艺和应用,考点,应用,程序性,理解离子交换工艺和应用,水质工程学
离子交换树脂的性质,考点,记忆,事实性,掌握离子交换树脂的性质,水质工程学
离子交换树脂的种类,考点,记忆,事实性,掌握离子交换树脂的种类,水质工程学
离子交换法,考点,理解,事实性,了解离子交换法脱盐,水质工程学
离子交换用于软化和除盐,考点,应用,程序性,掌握离子交换用于软化和除盐的工艺流程,水质工程学
离子交换用于重金属的去除,考点,应用,程序性,掌握离子交换用于重金属去除的工艺流程,水质工程学
离子交换的运行操作的四个步骤,考点,应用,程序性,掌握离子交换的运行操作的四个步骤,水质工程学
离子交换的选择性,考点;难点,记忆,概念性,掌握离子交换的选择性,水质工程学
离子交换设备,考点,应用,事实性,了解离子交换设备的种类和特征,水质工程学
穿透交换容量,考点;难点,记忆,概念性,掌握树脂的穿透交换容量,水质工程学
药剂软化法,考点,理解,事实性,了解药剂氧化法,水质工程学
蒸馏法,考点,理解,事实性,了解蒸馏法除盐,水质工程学
螯合树脂的反应和再生,考点,理解,概念性,掌握螯合树脂的反应和再生,水质工程学
软化的基本方法,考点,理解,事实性,了解软化的基本方法,水质工程学
连续床（移动床和流动床）,考点,应用,事实性,了解离子交换连续床的种类和特征,水质工程学
除盐的基本方法,考点,理解,事实性,了解除盐的基本方法,水质工程学
