知识点,关系,知识点2
离子交换,上级,水质工程学
水中主要的溶解性杂质,上级,离子交换
软化的基本方法,上级,离子交换
加热软化法,上级,软化的基本方法
药剂软化法,上级,软化的基本方法
离子交换法,上级,软化的基本方法
除盐的基本方法,上级,离子交换
蒸馏法,上级,除盐的基本方法
电渗析法,上级,除盐的基本方法
反渗透法,上级,除盐的基本方法
离子交换法,上级,除盐的基本方法
离子交换树脂的性质,上级,离子交换
离子交换树脂的种类,上级,离子交换树脂的性质
物理性能指标,上级,离子交换树脂的性质
干真密度,上级,物理性能指标
湿真密度,上级,物理性能指标
湿视密度,上级,物理性能指标
含水率,上级,物理性能指标
化学性能指标,上级,离子交换树脂的性质
交联度,上级,化学性能指标
离子交换的选择性,上级,化学性能指标
全交换容量,上级,化学性能指标
工作交换容量,上级,化学性能指标
穿透交换容量,上级,化学性能指标
树脂的命名规范,上级,离子交换树脂的性质
典型的离子交换反应,上级,离子交换
树脂的酸碱性和有效pH范围,上级,典型的离子交换反应
强酸性阳离子交换树脂的反应和再生,上级,典型的离子交换反应
弱酸性阳离子交换树脂的反应和再生,上级,典型的离子交换反应
强碱性阴离子交换树脂的反应和再生,上级,典型的离子交换反应
弱碱性阴离子交换树脂的反应和再生,上级,典型的离子交换反应
螯合树脂的反应和再生,上级,典型的离子交换反应
离子交换工艺和应用,上级,离子交换
离子交换设备,上级,离子交换工艺和应用
固定床（单层床、双层床和混合床）,上级,离子交换设备
连续床（移动床和流动床）,上级,离子交换设备
离子交换的运行操作的四个步骤,上级,离子交换工艺和应用
离子交换用于软化和除盐,上级,离子交换工艺和应用
去除地下水中的硝酸氮,上级,离子交换用于软化和除盐
离子交换用于重金属的去除,上级,离子交换工艺和应用
